id,author_id,created_at,text,keyword,source
1966572379154387415,4861950146,2025-09-12 18:39:26+00:00,"RT @melodiriii: I want that ""have you seen the way he looks at her"" kind of love.",love,twitter
1966572379053977642,1913211768329117696,2025-09-12 18:39:26+00:00,"RT @RahulDewanV2: The single most potent response Hinduism can give to all the problems that ail it: #MissionaryHinduism 

1. Land/Love/___…",love,twitter
1966572378965897697,1966375611385163776,2025-09-12 18:39:26+00:00,"@shittyschiff @imnotpopbase @elonmusk Really? So you're okay with Racism and hate 🤔. You are the want who is wrong, you don't believe in respect and equality! You are part the problem this country is on fire!",hate,twitter
1966572378902982667,1887329740119547906,2025-09-12 18:39:26+00:00,"RT @JexiumIslandJem: @ChiefTeef8 If you really thought that, you'd HATE democrats.

They even think you're far too stupid to find the DMV.…",hate,twitter
1966572378894573683,1369288330626572293,2025-09-12 18:39:26+00:00,RT @ParasiticEager2: I love the variety of colours in this movie https://t.co/MCK37IxDyG,love,twitter
1966572378768490757,315525398,2025-09-12 18:39:26+00:00,"@McNasty ""Fake news"", probably.",news,twitter
1966572378739102161,1423891274172616706,2025-09-12 18:39:26+00:00,"RT @LeeMajdoub: Kindness
Empathy
Equality
Love
♥️",love,twitter
1966572378713894995,1288719418625671173,2025-09-12 18:39:26+00:00,"Love &amp; Blessings to @itsSSR 🫶❤✨🦋🧿

#SushantSinghRajput 💫 https://t.co/xU0Hpb3gFH",love,twitter
1966572378672296143,1677835145083011072,2025-09-12 18:39:26+00:00,"RT @chaaistheanswer: marry me juliet you never have to be alone i love you and thats all i really know

#SouthPark #spcreek #sptwt https://…",love,twitter
1966572378617483357,24842995,2025-09-12 18:39:26+00:00,Authorities identify Charlie Kirk shooting suspect as Tyler Robinson https://t.co/ASLfY2MNn8 via @dallasnews,news,twitter
1966572378609291434,1331666724781924353,2025-09-12 18:39:26+00:00,"RT @zuices: Today, all who heard the news of Charlie Kirk’s passing were filled with grief. In Korea, the U.S. flag was raised at half-mast…",news,twitter
